DelkaTrvani;ID;IDr;CisloPece;CisloPodstavce;CisloOchrannehoPoklopu;Vsazky;Sloupec1;Smena;Program;CasZahajeni;CasUkonceni;Batch01_GIN;Batch01_Lot;Batch01_WGHT;Batch01_stred;Batch01_cont;Batch01_Nazev;Batch01_CisloZakazky;Batch02_GIN;Batch02_Lot;Batch02_WGHT;Batch02_stred;Batch02_cont;Batch02_Nazev;Batch02_CisloZakazky;Batch03_GIN;Batch03_Lot;Batch03_WGHT;Batch03_stred;Batch03_cont;Batch03_Nazev;Batch03_CisloZakazky;Batch04_GIN;Batch04_Lot;Batch04_WGHT;Batch04_stred;Batch04_cont;Batch04_Nazev;Batch04_CisloZakazky;Batch05_GIN;Batch05_Lot;Batch05_WGHT;Batch05_stred;Batch05_cont;Batch05_Nazev;Batch05_CisloZakazky;Batch06_GIN;Batch06_Lot;Batch06_WGHT;Batch06_stred;Batch06_cont;Batch06_Nazev;Batch06_CisloZakazky;Batch07_GIN;Batch07_Lot;Batch07_WGHT;Batch07_stred;Batch07_cont;Batch07_Nazev;Batch07_CisloZakazky;Batch08_GIN;Batch08_Lot;Batch08_WGHT;Batch08_stred;Batch08_cont;Batch08_Nazev;Batch08_CisloZakazky;Batch09_GIN;Batch09_Lot;Batch09_WGHT;Batch09_stred;Batch09_cont;Batch09_Nazev;Batch09_CisloZakazky;Batch10_GIN;Batch10_Lot;Batch10_WGHT;Batch10_stred;Batch10_cont;Batch10_Nazev;Batch10_CisloZakazky;Batch11_GIN;Batch11_Lot;Batch11_WGHT;Batch11_stred;Batch11_cont;Batch11_Nazev;Batch11_CisloZakazky;Batch12_GIN;Batch12_Lot;Batch12_WGHT;Batch12_stred;Batch12_cont;Batch12_Nazev;Batch12_CisloZakazky;Plyn_Spotreba_Cyklus;OA_Spotreba_Cyklus;Zdroj;StatusProgramu;Reported;PosledniZmena;RadekVytvoren
41545;117;1;1;8;11.0;66P8X1;;A;3;02.09.2024 13:16;03.09.2024 0:48;xf12665500;735145.0;1050.0;b485;h300824105;VD;507749.0;xf12665500;735145.0;1068.0;b485;h300824106;VD;507749.0;xf12665500;735145.0;1128.0;b485;h300824103;VD;507749.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;170;38;1ESAB1;0;1.0;;
62952;190;9;0;2;10.0;08p2x2;;B;5;26.09.2024 20:00;27.09.2024 13:30;XF13085500;44671.0;1030.0;B485;H200924080;VD;517806.0;XF13085500;44671.0;1014.0;B485;H200924066;VD;517806.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;228;88;1ESAB2;0;1.0;27.09.2024 15:27;20.09.2024 13:52
63292;198;12;1;3;8.0;08P3X1;;B;5;01.10.2024 17:07;02.10.2024 10:42;xf13085500;24429.0;1018.0;b485;h011024049;VD;522056.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;173;437;1ESAB1;0;1.0;02.10.2024 10:42;01.10.2024 9:55
65711;188;8;0;5;4.0;08p5x1;;B;5;26.09.2024 19:45;27.09.2024 14:00;XF13085500;44671.0;1012.0;B485;H200924064;VD;517806.0;XF13085500;44671.0;1038.0;B485;H200924061;VD;517806.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;242;70;1ESAB2;0;1.0;27.09.2024 15:29;20.09.2024 11:40
58514;189;6;0;6;3.0;086x1p;;B;5;26.09.2024 19:45;27.09.2024 12:00;XF13085500;44671.0;1012.0;B485;H200924062;VD;517806.0;XF13085500;44671.0;1068.0;B485;H200924065;VD;517806.0;XF13085500;44671.0;1054.0;B485;H200924063;VD;517806.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;224;68;1ESAB2;0;1.0;27.09.2024 15:30;20.09.2024 13:41
50536;116;3;1;3;2.0;66P3X1;;B;7;02.09.2024 6:51;02.09.2024 20:53;xf12665500;735145.0;1052.0;b485;h300824054;VD;507749.0;xf12665500;735145.0;1070.0;b485;h300824055;VD;507749.0;xf12665500;735145.0;1050.0;b485;h300824056;VD;507749.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;198;80;1ESAB1;0;1.0;;
57207;124;4;3;3;2.0;SAWP3X1;;C;7;04.09.2024 7:06;04.09.2024 23:00;XF12345501;56607.0;1064.0;b430;2;VD;510822.0;XF12345501;56607.0;972.0;b430;2;VD;510822.0;XF12345501;56607.0;1018.0;b430;2;VD;510822.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;211;84;1ESAB1;0;1.0;;
58486;128;5;3;3;2.0;SAWP3X2;;A;7;05.09.2024 2:44;05.09.2024 18:58;xf12345501;56607.0;1000.0;b430;2;VD;510822.0;xf12345501;56607.0;1061.0;b430;2;VD;510822.0;xf12345501;56607.0;1064.0;b430;2;VD;510822.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;192;252;1ESAB1;0;1.0;;
54927;132;6;1;3;2.0;66P3X2;;A;7;06.09.2024 6:08;06.09.2024 21:23;xf12665500;735145.0;1044.0;b485;h050924063;VD;510899.0;xf12665500;735145.0;1116.0;b485;h050924062;VD;510899.0;xf12665500;735145.0;1116.0;b485;h050924060;VD;510899.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;193;77;1ESAB1;0;1.0;06.09.2024 21:23;
53774;137;7;1;3;2.0;66P3X3;;A;7;06.09.2024 21:23;07.09.2024 12:19;XF12665500;735145.0;1062.0;B485;H060924078;VD;510899.0;XF12665500;735145.0;1134.0;B485;H060924079;VD;510899.0;XF12665500;735145.0;1120.0;B485;H060924076;VD;510899.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;182;69;1ESAB1;0;1.0;07.09.2024 12:19;
106576;205;11;4;2;10.0;prp2x2;;D;10;02.10.2024 16:55;03.10.2024 22:31;XF13092211;43461.0;850.0;B410;M011024133;Predtah;522489.0;XF13092211;43461.0;850.0;B410;M011024122;Predtah;522489.0;XF13092211;43461.0;850.0;B410;M021024002;Predtah;522489.0;XF13092211;43461.0;850.0;B410;M021024010;Predtah;522489.0;XF13092211;43461.0;850.0;B410;M021024021;Predtah;522489.0;XF13092211;43461.0;850.0;B410;M021024026;Predtah;522489.0;XF13092211;43461.0;500.0;B410;M021024058;Predtah;522489.0;XF13092211;43461.0;570.0;B410;M021024069;Predtah;522489.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;325;222;1ESAB1;0;1.0;03.10.2024 22:31;02.10.2024 16:55
92779;213;12;1;2;10.0;PRP2X3;;D;10;07.10.2024 6:23;08.10.2024 8:09;XF13262211;40926.0;850.0;B410;M041024044;Predtah;522492.0;XF13262211;40926.0;850.0;B410;M041024043;Predtah;522492.0;XF13262211;40926.0;204.0;B410;M041024053;Predtah;522492.0;XF13122211;28059.0;750.0;B410;M041024075;Predtah;522490.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;279;175;1ESAB1;0;1.0;08.10.2024 8:09;04.10.2024 13:43
16800;222;13;0;2;10.0;prp2x4;; ;10;08.10.2024 8:09;08.10.2024 12:49;XF13292211;43381.0;850.0;B410;M071024080;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M071024075;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M071024062;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024158;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024157;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024090;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024121;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024102;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024123;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M051024122;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M081024038;Predtah;522494.0;XF13292211;43381.0;850.0;B410;M081024047;Predtah;522494.0;279;175;1ESAB1;0;1.0;08.10.2024 12:49;08.10.2024 8:53
133530;133;4;3;4;7.0;PRP4X3;;A;10;05.09.2024 21:03;07.09.2024 10:08;xf13262211;40926.0;850.0;b410;m050924026;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924028;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924030;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924044;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924056;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924058;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924060;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924078;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924079;Predtah;510700.0;xf13262211;40926.0;850.0;b410;m050924087;Predtah;510700.0;;;0.0;b410;;Ostatni;;;;0.0;;; ;;384;147;1ESAB1;0;1.0;07.09.2024 10:08;
5841;177;9;4;4;7.0;prp4x6;;C;10;18.09.2024 12:12;18.09.2024 13:49;XF13292211;38101.0;850.0;B410;M120924050;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M110924105;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M120924095;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M120924085;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M110924090;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M110924098;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M120924071;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M120924056;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M130924069;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M130924078;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M130924083;Predtah;513592.0;XF13292211;38101.0;850.0;B410;M130924084;Predtah;513592.0;460;250;1ESAB2;0;1.0;18.09.2024 13:49;18.09.2024 11:33
